,DriverID,RideID,Location,Time,Date,ChargeKwhNeeded
83,1249,1422365,30.233 -97.738,01:45:51,2017-04-05,1.3670632871272241
84,1249,1422617,30.329 -97.708,02:27:41,2017-04-05,1.3670632871272241
85,1249,1422924,30.484 -97.647,03:32:12,2017-04-05,1.3670632871272241
86,1249,1423213,30.408 -97.722,04:44:02,2017-04-05,1.3670632871272241
87,2229,1422264,30.257 -97.807,01:16:36,2017-04-05,3.514373306536496
88,2229,1425598,30.197 -97.788,18:53:40,2017-04-05,3.514373306536496
89,3912,1422055,30.23 -97.733,00:43:26,2017-04-05,1.2252113295180722
90,3912,1422508,30.26 -97.739,02:06:56,2017-04-05,1.2252113295180722
91,3912,1422732,30.24 -97.787,02:51:51,2017-04-05,1.2252113295180722
92,3912,1422906,30.292 -97.735,03:27:47,2017-04-05,1.2252113295180722
93,3912,1423049,30.267 -97.737,04:00:43,2017-04-05,1.2252113295180722
94,3912,1423222,30.292 -97.728,04:37:50,2017-04-05,1.2252113295180722
95,3912,1423299,30.267 -97.736,05:01:27,2017-04-05,1.2252113295180722
96,3912,1423367,30.262 -97.72,05:16:56,2017-04-05,1.2252113295180722
97,3912,1423478,30.321 -97.72,06:05:36,2017-04-05,1.2252113295180722
98,3912,1423534,30.287 -97.748,06:26:30,2017-04-05,1.2252113295180722
99,3912,1423586,30.26 -97.739,07:06:13,2017-04-05,1.2252113295180722
100,4137,1424456,30.203 -97.667,14:14:44,2017-04-05,26.775105521948863
101,416,1422062,30.358 -97.733,00:38:42,2017-04-05,3.3843608715599682
102,3740,1424552,30.268 -97.746,14:35:46,2017-04-05,3.3843608715599682
103,416,1425347,30.264 -97.743,17:30:53,2017-04-05,3.3843608715599682
104,2935,1422063,30.382 -97.695,00:52:14,2017-04-05,6.209601964895744
105,2935,1422487,30.234 -97.716,02:38:58,2017-04-05,6.209601964895744
106,2935,1423198,30.297 -97.745,04:48:53,2017-04-05,6.209601964895744
107,4576,1423283,30.267 -97.737,04:58:09,2017-04-05,14.468364187709938
108,4576,1424878,30.217 -97.743,15:40:34,2017-04-05,14.468364187709938
109,2776,1422069,30.259 -97.746,00:37:10,2017-04-05,6.4733323786177275
110,2776,1422916,30.319 -97.704,03:32:47,2017-04-05,6.4733323786177275
111,2776,1423974,30.263 -97.743,12:10:50,2017-04-05,6.4733323786177275
